Season,Team,G,Date,Home,Opp,W/L,Team_pts,Opp_pts,Team_FG,Team_FGA,Team_FG%,Team_3P,Team_3PA,Team_3P%,Team_FT,Team_FTA,Team_FT%,Team_ORB,Team_TRB,Team_AST,Team_STL,Team_BLK,Team_TOV,Team_PF,Opp_FG,Opp_FGA,Opp_FG%,Opp_3P,Opp_3PA,Opp_3P%,Opp_FT,Opp_FTA,Opp_FT%,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
2019,BRK,15,2018-11-14,H,MIA,L,107,120,41,101,.406,8,28,.286,17,24,.708,16,46,17,10,2,15,29,46,85,.541,8,29,.276,20,28,.714,6,47,23,6,6,17,27
2019,BRK,16,2018-11-16,A,WAS,W,115,104,38,90,.422,9,33,.273,30,38,.789,13,47,19,8,3,11,24,37,87,.425,3,18,.167,27,34,.794,12,47,18,5,4,13,23
2019,BRK,17,2018-11-17,H,LAC,L,119,127,40,88,.455,13,28,.464,26,34,.765,15,47,25,4,5,11,22,48,95,.505,11,23,.478,20,24,.833,9,38,23,4,1,8,25
2019,BRK,18,2018-11-20,A,MIA,W,104,92,38,88,.432,8,31,.258,20,26,.769,13,53,17,6,4,11,21,36,100,.360,7,32,.219,13,20,.650,18,52,18,5,6,14,24
2019,BRK,19,2018-11-21,A,DAL,L,113,119,42,94,.447,14,42,.333,15,21,.714,16,42,23,8,2,14,31,38,78,.487,11,27,.407,32,41,.780,8,45,21,10,3,13,20
2019,BRK,20,2018-11-23,H,MIN,L,102,112,33,79,.418,14,45,.311,22,26,.846,9,46,26,2,4,18,22,44,92,.478,9,25,.360,15,17,.882,9,38,25,15,4,7,20
2019,BRK,21,2018-11-25,H,PHI,L,125,127,50,88,.568,10,25,.400,15,20,.750,10,43,19,2,4,16,25,44,91,.484,12,29,.414,27,33,.818,13,42,28,9,6,9,22
2019,BRK,22,2018-11-28,H,UTA,L,91,101,30,86,.349,11,30,.367,20,28,.714,14,48,11,12,5,20,20,39,82,.476,9,28,.321,14,21,.667,8,48,17,10,6,19,25
2019,BRK,23,2018-11-30,H,MEM,L,125,131,42,94,.447,16,44,.364,25,30,.833,11,51,26,7,4,16,28,50,101,.495,12,30,.400,19,22,.864,11,45,27,8,6,17,23
2019,BRK,24,2018-12-01,A,WAS,L,88,102,30,81,.370,8,33,.242,20,25,.800,11,42,19,8,2,17,17,41,79,.519,8,26,.308,12,18,.667,2,38,19,8,3,13,21
2019,BRK,25,2018-12-03,H,CLE,L,97,99,39,99,.394,10,40,.250,9,16,.563,17,50,17,5,2,7,20,38,88,.432,4,15,.267,19,20,.950,14,55,15,5,4,9,17
2019,BRK,26,2018-12-05,H,OKC,L,112,114,37,86,.430,15,36,.417,23,30,.767,10,45,21,7,4,14,24,43,99,.434,13,38,.342,15,26,.577,17,60,28,8,6,13,23
2019,BRK,27,2018-12-07,H,TOR,W,106,105,43,98,.439,11,35,.314,9,13,.692,16,60,22,8,2,20,28,35,89,.393,11,35,.314,24,29,.828,6,41,25,9,7,15,19
2019,BRK,28,2018-12-08,A,NYK,W,112,104,43,88,.489,11,22,.500,15,25,.600,12,45,27,5,5,12,25,39,83,.470,8,26,.308,18,30,.600,9,40,22,8,2,12,18
2019,BRK,29,2018-12-12,A,PHI,W,127,124,38,74,.514,14,28,.500,37,43,.860,7,37,20,10,1,16,23,50,91,.549,12,28,.429,12,16,.750,10,37,31,11,3,17,30
2019,BRK,30,2018-12-14,H,WAS,W,125,118,44,84,.524,11,31,.355,26,31,.839,9,45,34,5,3,9,17,49,90,.544,11,29,.379,9,16,.563,4,26,30,3,3,9,24
2019,BRK,31,2018-12-16,H,ATL,W,144,127,49,88,.557,16,40,.400,30,33,.909,10,39,34,12,3,13,21,47,85,.553,14,29,.483,19,25,.760,8,33,38,9,5,14,22
2019,BRK,32,2018-12-18,H,LAL,W,115,110,44,91,.484,14,34,.412,13,19,.684,4,40,27,5,4,11,18,42,90,.467,13,40,.325,13,23,.565,8,48,21,6,4,14,19
